University,Name,Department,Rank,Sex,Title,Pronouns,URL,Face,Smile
Cornell,Andrew Karolyi,finance,Full,Male,"Harold Bierman, Jr. Distinguished Professor of Management
Charles Field Knight Dean of the Cornell SC Johnson College of Business","['he', 'his', 'he', 'he', 'he', 'he', 'he', 'his', 'he', 'his']",https://www.johnson.cornell.edu/faculty-research/faculty/gak56/,0,1
Cornell,Maureen O’Hara,finance,Full,Female,"Professor
Robert W. Purcell Professor of Management","['she', 'she', 'she', 'her', 'she', 'she', 'she', 'she', 'she', 'she', 'she']",https://www.johnson.cornell.edu/faculty-research/faculty/mo19/,1,1
Cornell,Gideon Saar,finance,Full,Male,"Professor of Finance
Dr. Philip and Rosalyn Baron Professor of Management
Co-Editor, Journal of Financial Markets","['his', 'his', 'he', 'his', 'he']",https://www.johnson.cornell.edu/faculty-research/faculty/gs25/,1,1
Cornell,Gautam Ahuja,management-and-organizations,Full,Male,Eleanora and George Landew Professor of Management,"['he', 'his', 'he', 'his', 'he', 'he', 'he', 'he', 'he', 'he', 'he', 'his']",https://www.johnson.cornell.edu/faculty-research/faculty/ga337/,0,1
Cornell,Ya-Ru Chen,management-and-organizations,Full,Female,"Nicholas H. Noyes Professor of Management
Academic Dean of China Initiatives","['she', 'her', 'she', 'she', 'her', 'her', 'she', 'her', 'she']",https://www.johnson.cornell.edu/faculty-research/faculty/yc659/,1,1
Cornell,Glen W.S. Dowell,management-and-organizations,Full,Male,"Henrietta Johnson Louis Professor of Management
Senior Director of MBA and MPS Programs
Co-Editor, Strategic Organization","['he', 'he', 'he', 'he']",https://www.johnson.cornell.edu/faculty-research/faculty/gwd39/,1,0
Cornell,Michelle M. Duguid,management-and-organizations,Associate,Female,"Associate Professor
Associate Dean of Diversity, Inclusion, and Belonging","['she', 'her', 'her', 'she', 'her']",https://www.johnson.cornell.edu/faculty-research/faculty/mmd49/,0,0
Cornell,Angus Hildreth,management-and-organizations,Assistant,Male,Assistant Professor,"['he', 'his', 'his', 'he', 'his', 'his', 'he', 'he', 'he']",https://www.johnson.cornell.edu/faculty-research/faculty/jdh362/,1,0
Cornell,Elizabeth McClean,management-and-organizations,Associate,Female,Associate Professor,[],https://www.johnson.cornell.edu/faculty-research/faculty/ejm45/,1,0
Cornell,Elizabeth A. Mannix,management-and-organizations,Full,Female,Ann Whitney Olin Professor of Management,"['her', 'she', 'her', 'she', 'she', 'she']",https://www.johnson.cornell.edu/faculty-research/faculty/eam33/,1,1
Cornell,Matt Marx,management-and-organizations,Full,Male,"Bruce F. Failing, Sr. Professor of Personal Enterprise","['he', 'he', 'he', 'his', 'his', 'his']",https://dyson.cornell.edu/faculty-research/faculty/mtm83/,1,0
Cornell,Sunita Sah,management-and-organizations,Associate,Female,Associate Professor,"['her', 'she']",https://www.johnson.cornell.edu/faculty-research/faculty/ss3478/,1,1
Cornell,Wesley David Sine,management-and-organizations,Full,Male,"John and Dyan Smith Professor of Management and Family Business
Faculty Director of Entrepreneurship Innovation and Technology Theme
Academic Director of the Smith Family Business Institute
Managing Editor, Administrative Science Quarterly","['his', 'he', 'he', 'he']",https://www.johnson.cornell.edu/faculty-research/faculty/wds4/,1,1
Cornell,Tommaso Bondi,marketing,Assistant,Male,"Assistant Professor
Demir Sabanci Faculty Fellow of Marketing and Management, SC Johnson College of Business","['he', 'he', 'his', 'he', 'he', 'his']",https://www.johnson.cornell.edu/faculty-research/faculty/tb558/,1,0
Cornell,Khaled Boughanmi,marketing,Assistant,Male,Assistant Professor,"['his', 'he']",https://www.johnson.cornell.edu/faculty-research/faculty/kb746/,1,0
Cornell,Emily Garbinsky,marketing,Associate,Female,Associate Professor,"['she', 'she', 'she', 'she', 'she', 'she', 'her', 'she', 'she', 'she', 'she']",https://www.johnson.cornell.edu/faculty-research/faculty/eng26/,1,1
Cornell,Sachin Gupta,marketing,Full,Male,Henrietta Johnson Louis Professor of Management,"['his', 'his', 'his', 'he', 'his', 'his', 'he', 'he', 'he', 'he', 'he', 'he', 'he']",https://www.johnson.cornell.edu/faculty-research/faculty/sg248/,1,1
Cornell,Vrinda Kadiyali,marketing,Full,Female,"Nicholas H. Noyes Professor of Management
Director of Graduate Studies for the Graduate Field of Management","['her', 'she', 'she', 'she', 'she']",https://www.johnson.cornell.edu/faculty-research/faculty/vk24/,1,1
Cornell,Young-Hoon Park,marketing,Full,Male,Sung-Whan Suh Professor of Management,"['his', 'his', 'he', 'his', 'he', 'he', 'he', 'he']",https://www.johnson.cornell.edu/faculty-research/faculty/yp34/,1,0
Cornell,Omid Rafieian,marketing,Assistant,Male,"Assistant Professor
Demir Sabanci Faculty Fellow of Marketing and Management, SC Johnson College of Business",[],https://www.johnson.cornell.edu/faculty-research/faculty/or83/,1,1
Cornell,Douglas M. Stayman,marketing,Associate,Male,Associate Professor,"['his', 'he', 'his', 'his', 'he', 'his', 'he']",https://www.johnson.cornell.edu/faculty-research/faculty/dms43/,1,1
Cornell,Manoj Thomas,marketing,Full,Male,"Professor
Senior Director of EMBA and MSBA Programs
Nakashimato Professor","['his', 'he', 'he', 'he']",https://www.johnson.cornell.edu/faculty-research/faculty/mkt27/,1,1
Cornell,Stijn M.J. van Osselaer,marketing,Full,Male,"S.C. Johnson Professor of Marketing
Area Chair for Marketing and Management Communication","['he', 'his', 'his', 'he', 'he']",https://www.johnson.cornell.edu/faculty-research/faculty/smv64/,1,1
Cornell,Kaitlin Woolley,marketing,Associate,Female,Associate Professor,"['she', 'her', 'her', 'she', 'her', 'her', 'she', 'she', 'her']",https://www.johnson.cornell.edu/faculty-research/faculty/krw67/,1,0
Cornell,Arielle Anderer,operations-technology-information-management,Assistant,Female,Assistant Professor,"['her', 'her', 'her', 'she', 'her']",https://www.johnson.cornell.edu/faculty-research/faculty/aea68/,1,1
