Name,URL,J,M,T
Carri Chan,https://business.columbia.edu/faculty/people/carri-chan,1,1,1
Jing Dong,https://business.columbia.edu/faculty/people/jing-dong,1,1,1
Awi Federgruen,https://business.columbia.edu/faculty/people/awi-federgruen,0,0,0
Paul Glasserman,https://business.columbia.edu/faculty/people/paul-glasserman,1,1,1
Linda Green,https://business.columbia.edu/faculty/people/linda-green,1,1,1
Yash Kanoria,https://business.columbia.edu/faculty/people/yash-kanoria,1,1,1
Hannah Li,https://business.columbia.edu/staff/people/hannah-li,0,0,0
Will Ma,https://business.columbia.edu/faculty/people/will-ma,1,0,1
Hongyao Ma,https://business.columbia.edu/faculty/people/hongyao-ma,1,1,1
Costis Maglaras,https://business.columbia.edu/faculty/people/costis-maglaras,0,0,0
Ciamac Moallemi,https://business.columbia.edu/faculty/people/ciamac-moallemi,0,0,0
Hongseok Namkoong,https://business.columbia.edu/faculty/people/hongseok-namkoong,1,1,1
Nicola Rosaia,https://business.columbia.edu/faculty/people/nicola-rosaia,,,
Daniel Russo,https://business.columbia.edu/faculty/people/daniel-russo,,,
Martin Starr,https://business.columbia.edu/faculty/people/martin-starr,,,
Garrett van Ryzin,https://business.columbia.edu/faculty/people/garrett-van-ryzin,,,
Assaf Zeevi,https://business.columbia.edu/faculty/people/assaf-zeevi,,,
Asim Ansari,https://business.columbia.edu/faculty/people/asim-ansari,0,0,0
Silvia Bellezza,https://business.columbia.edu/faculty/people/silvia-bellezza,1,1,1
Melanie Brucks,https://business.columbia.edu/faculty/people/melanie-brucks,1,1,1
Noel Capon,https://business.columbia.edu/faculty/people/noel-capon,0,0,0
Dante Donati,https://business.columbia.edu/faculty/people/dante-donati,0,0,0
Hortense Fong,https://business.columbia.edu/faculty/people/hortense-fong,1,1,1
Elizabeth Friedman,https://business.columbia.edu/faculty/people/elizabeth-friedman,1,1,1
Kamel Jedidi,https://business.columbia.edu/faculty/people/kamel-jedidi,0,0,0
Kinshuk Jerath,https://business.columbia.edu/faculty/people/kinshuk-jerath,1,1,1
Gita Johar,https://business.columbia.edu/faculty/people/gita-johar,0,0,0
Eric Johnson,https://business.columbia.edu/faculty/people/eric-johnson,0,0,0
Ran Kivetz,https://business.columbia.edu/faculty/people/ran-kivetz,0,0,0
Rajeev Kohli,https://business.columbia.edu/faculty/people/rajeev-kohli,1,1,1
Vicki Morwitz,https://business.columbia.edu/faculty/people/vicki-morwitz,1,1,1
Oded Netzer,https://business.columbia.edu/faculty/people/oded-netzer,1,1,1
Michel Tuan Pham,https://business.columbia.edu/faculty/people/michel-tuan-pham,0,0,0
Miklos Sarvary,https://business.columbia.edu/faculty/people/miklos-sarvary,0,0,0
Bernd Schmitt,https://business.columbia.edu/faculty/people/bernd-schmitt,0,0,0
Andrey Simonov,https://business.columbia.edu/faculty/people/andrey-simonov,0,0,0
Olivier Toubia,https://business.columbia.edu/faculty/people/olivier-toubia,0,0,0
Morris Holbrook,https://business.columbia.edu/faculty/people/morris-holbrook,,,
James Hulbert,https://business.columbia.edu/faculty/people/james-hulbert,,,
Donald Lehmann,https://business.columbia.edu/faculty/people/donald-lehmann,0,0,0
Don Sexton,https://business.columbia.edu/faculty/people/don-sexton,1,1,1
Tim Baldenius,https://business.columbia.edu/faculty/people/tim-baldenius,,,
Thomas Bourveau,https://business.columbia.edu/faculty/people/thomas-bourveau,0,0,0
Matthias Breuer,https://business.columbia.edu/faculty/people/matthias-breuer,0,0,0
Wei Cai,https://business.columbia.edu/faculty/people/wei-cai,1,1,1
Jonathan Glover,https://business.columbia.edu/faculty/people/jonathan-glover,1,1,1
Anne Heinrichs,https://business.columbia.edu/faculty/people/anne-heinrichs,1,1,1
Kalash Jain,https://business.columbia.edu/faculty/people/kalash-jain,1,1,1
Sehwa Kim,https://business.columbia.edu/faculty/people/sehwa-kim,0,0,0
Lisa Liu,https://business.columbia.edu/faculty/people/lisa-liu,0,0,0
Doron Nissim,https://business.columbia.edu/faculty/people/doron-nissim,0,0,0
Stephen Penman,https://business.columbia.edu/faculty/people/stephen-penman,,,
Shivaram Rajgopal,https://business.columbia.edu/faculty/people/shivaram-rajgopal,0,0,0
Syrena Shirley,https://business.columbia.edu/faculty/people/syrena-shirley,1,1,1
Sang Wu,https://business.columbia.edu/faculty/people/sang-wu,0,0,0
Boaz Abramson,https://business.columbia.edu/faculty/people/boaz-abramson,0,0,0
Enrique Arzac,https://business.columbia.edu/faculty/people/enrique-arzac,,,
Tania Babina,https://business.columbia.edu/faculty/people/tania-babina,,,
Geert Bekaert,https://business.columbia.edu/faculty/people/geert-bekaert,1,1,1
Patrick Bolton,https://business.columbia.edu/faculty/people/patrick-bolton,0,0,0
Kent Daniel,https://business.columbia.edu/faculty/people/kent-daniel,1,1,1
Olivier Darmouni,https://business.columbia.edu/faculty/people/olivier-darmouni,0,0,0
Wenxin Du,https://business.columbia.edu/faculty/people/wenxin-du,0,0,0
Michael Ewens,https://business.columbia.edu/faculty/people/michael-ewens,0,0,0
Xavier Giroud,https://business.columbia.edu/faculty/people/xavier-giroud,,,
Lawrence Glosten,https://business.columbia.edu/faculty/people/lawrence-glosten,1,1,1
Laurie Simon Hodrick,https://business.columbia.edu/faculty/people/laurie-simon-hodrick,,,
Robert Hodrick,https://business.columbia.edu/faculty/people/robert-hodrick,,,
Gur Huberman,https://business.columbia.edu/faculty/people/gur-huberman,0,0,0
Michael Johannes,https://business.columbia.edu/faculty/people/michael-johannes,0,0,0
Jane (Jian) Li,https://business.columbia.edu/faculty/people/jane-jian-li,1,1,1
Xuelin Li,https://business.columbia.edu/faculty/people/xuelin-li,0,0,0
Yiming Ma,https://business.columbia.edu/faculty/people/yiming-ma,1,1,1
Christopher Mayer,https://business.columbia.edu/faculty/people/christopher-mayer,1,1,1
Bruno Pellegrino,https://business.columbia.edu/faculty/people/bruno-pellegrino,0,0,0
Tomasz Piskorski,https://business.columbia.edu/faculty/people/tomasz-piskorski,0,0,0
Lynne Sagalyn,https://business.columbia.edu/staff/people/lynne-sagalyn,,,
Tano Santos,https://business.columbia.edu/faculty/people/tano-santos,1,1,1
Parinitha Sastry,https://business.columbia.edu/faculty/people/parinitha-sastry,1,1,1
Jesse Schreger,https://business.columbia.edu/faculty/people/jesse-schreger,0,0,0
M. Suresh Sundaresan,https://business.columbia.edu/faculty/people/m-suresh-sundaresan,0,0,0
Dominik Supera,https://business.columbia.edu/faculty/people/dominik-supera,0,0,0
Paul Tetlock,https://business.columbia.edu/faculty/people/paul-tetlock,0,0,0
Stijn Van Nieuwerburgh,https://business.columbia.edu/faculty/people/stijn-van-nieuwerburgh,1,1,1
Laura Veldkamp,https://business.columbia.edu/faculty/people/laura-veldkamp,1,1,1
Neng Wang,https://business.columbia.edu/faculty/people/neng-wang,,,
Daniel Wolfenzon,https://business.columbia.edu/faculty/people/daniel-wolfenzon,0,0,0
Kairong Xiao,https://business.columbia.edu/faculty/people/kairong-xiao,0,0,0
Ann Bartel,https://business.columbia.edu/faculty/people/ann-bartel,1,1,1
Laura Boudreau,https://business.columbia.edu/faculty/people/laura-boudreau,1,1,1
Abby Cohen,https://business.columbia.edu/faculty/people/abby-cohen,1,1,1
Wouter Dessein,https://business.columbia.edu/faculty/people/wouter-dessein,1,1,1
John Donaldson,https://business.columbia.edu/faculty/people/john-donaldson,,,
Laura Doval,https://business.columbia.edu/faculty/people/laura-doval,1,1,1
Franklin Edwards,https://business.columbia.edu/faculty/people/franklin-edwards,,,
Geoffrey Heal,https://business.columbia.edu/faculty/people/geoffrey-heal,0,0,0
R. Glenn Hubbard,https://business.columbia.edu/faculty/people/r-glenn-hubbard,0,0,0
Nathaniel Leff,https://business.columbia.edu/faculty/people/nathaniel-leff,,,
Frank Lichtenberg,https://business.columbia.edu/faculty/people/frank-lichtenberg,1,1,1
Kristina Manysheva,https://business.columbia.edu/faculty/people/kristina-manysheva,1,1,1
Frederic Mishkin,https://business.columbia.edu/faculty/people/frederic-mishkin,0,0,0
Christian Moser,https://business.columbia.edu/faculty/people/christian-moser,0,0,0
Eli Noam,https://business.columbia.edu/faculty/people/eli-noam,1,1,1
Crist??bal Otero,https://business.columbia.edu/faculty/people/cristobal-otero-ruiz-tagle,1,1,1
Jacopo Perego,https://business.columbia.edu/faculty/people/jacopo-perego,0,0,0
Tommaso Porzio,https://business.columbia.edu/faculty/people/tommaso-porzio,0,0,0
Andrea Prat,https://business.columbia.edu/faculty/people/andrea-prat,0,0,0
Jonah Rockoff,https://business.columbia.edu/faculty/people/jonah-rockoff,0,0,0
Larry Selden,https://business.columbia.edu/faculty/people/larry-selden,,,
Nachum Sicherman,https://business.columbia.edu/faculty/people/nachum-sicherman,0,0,0
Paolo Siconolfi,https://business.columbia.edu/faculty/people/paolo-siconolfi,0,0,0
Joseph Stiglitz,https://business.columbia.edu/faculty/people/joseph-stiglitz,1,1,1
Conor Walsh,https://business.columbia.edu/faculty/people/conor-walsh,0,0,0
Shang-Jin Wei,https://business.columbia.edu/faculty/people/shang-jin-wei,0,0,0
Maurice Wilkinson,https://business.columbia.edu/faculty/people/maurice-wilkinson,,,
Pierre Yared,https://business.columbia.edu/faculty/people/pierre-yared,1,1,1
Stephen Zeldes,https://business.columbia.edu/faculty/people/stephen-zeldes,1,1,1
